rank,ID,name,mechanics,families,categories,n.ratings,rating
95,4098,age-steam,Auction/Bidding|Dice Rolling|Player Elimination|Route/Network Building|Tile Placement,Age of Steam,Economic|Trains|Transportation,6771,7.70318
96,555,princes-florence,Auction/Bidding|Tile Placement,Alea Big Box|Cities: Florence|Country: Italy|Polyominoes,City Building|Renaissance,13183,7.59093
97,148228,splendor,Card Drafting|Set Collection,Splendor,Card Game|Economic|Renaissance,30619,7.5334
98,43015,hansa-teutonica,Action Point Allowance System|Area Control / Area Influence|Point to Point Movement|Route/Network Building,Country: Germany,Renaissance,8544,7.63994
99,54043,jaipur,Card Drafting|Hand Management|Set Collection,Animals: Camels|Asian Theme|Country: India,Animals|Card Game,19069,7.54797
100,104006,village,Set Collection|Worker Placement,Village,Farming|Medieval,14007,7.56664
101,176189,zombicide-black-plague,Co-operative Play|Dice Rolling|Modular Board|Variable Player Powers,Crowdfunding: Kickstarter|Zombicide,Adventure|Fantasy|Fighting|Horror|Medieval|Miniatures|Zombies,5061,7.94479
102,31627,ticket-ride-nordic-countries,Card Drafting|Hand Management|Route/Network Building|Set Collection,Country: Denmark|Country: Finland|Country: Norway|Country: Sweden|Ticket to Ride,Trains|Transportation|Travel,8126,7.66686
103,101721,mage-wars-arena,Dice Rolling|Grid Movement|Simultaneous Action Selection|Variable Player Powers,Mage Wars,Card Game|Fantasy|Fighting,6076,7.81048
104,215,tichu,Betting/Wagering|Hand Management|Partnerships|Trick-taking,Asian Theme|Climbing Games|Country: China|Shedding Games|Traditional Card Games|Z-Man / Filosofia deluxe card game series,Card Game,10666,7.6082
105,188,go,Area Enclosure,3M Bookshelf Series|Combinatorial|Ravensburger Traveller Series,Abstract Strategy,11635,7.66968
106,154203,imperial-settlers,Card Drafting|Hand Management|Take That|Variable Player Powers,Ancient Rome|Country: Egypt|Country: Japan|Solitaire Games|Tableau Building,Ancient|Card Game|City Building|Civilization,12680,7.58337
107,10630,memoir-44,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Hand Management|Modular Board|Simulation,Commands & Colors|Memoir '44,Miniatures|Wargame|World War II,19600,7.53233
108,9209,ticket-ride,Hand Management|Route/Network Building|Set Collection,Country: USA|Ticket to Ride,Trains|Travel,49112,7.48214
109,129437,legendary-marvel-deck-building-game,Co-operative Play|Deck / Pool Building,Comics: Marvel Universe|Legendary|Solitaire Games|Superheroes,Card Game|Comic Book / Strip,12854,7.63055
110,234,hannibal-rome-vs-carthage,Area Control / Area Influence|Campaign / Battle Card Driven|Dice Rolling|Point to Point Movement|Simulation,Ancient Rome|Continent: Africa|Valley Games Tactics Line,Ancient|Political|Wargame,4330,7.82909
111,171131,captain-sonar,Grid Movement|Line Drawing|Partnerships|Role Playing|Secret Unit Deployment|Simultaneous Action Selection,"",Deduction|Fighting|Nautical|Real-time|Wargame,4580,7.82611
112,20551,shogun,Action / Movement Programming|Area Control / Area Influence|Area Movement|Auction/Bidding|Simultaneous Action Selection|Variable Phase Order,Asian Theme|Country: Japan|Samurai,Economic|Medieval|Territory Building,10566,7.57871
113,140620,lewis-clark,Card Drafting|Deck / Pool Building|Hand Management|Point to Point Movement|Worker Placement,Solitaire Games|Tableau Building,American West|Racing,8852,7.58946
114,93260,summoner-wars-master-set,Dice Rolling|Grid Movement|Hand Management|Variable Player Powers,Summoner Wars,Card Game|Fantasy|Fighting,8764,7.61822
115,31481,galaxy-trucker,Dice Rolling|Tile Placement,"",Humor|Real-time|Science Fiction|Space Exploration|Transportation,21011,7.47534
116,146439,battlelore-second-edition,Campaign / Battle Card Driven|Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,BattleLore|BattleLore (Second Edition)|Commands & Colors|Monsters|The Realms of Terrinoth,Dice|Fantasy|Miniatures|Wargame,3610,7.93469
117,97207,dungeon-petz,Auction/Bidding|Hand Management|Worker Placement,Dungeon Lords|Monsters,Animals|Fantasy|Humor,8793,7.58449
118,22545,age-empires-iii-age-discovery,Area Control / Area Influence|Set Collection|Worker Placement,Age of Discovery|Colonial Theme|Country: Costa Rica|Glenn Drover's Empires Series,Civilization|Exploration|Renaissance|Video Game Theme,8925,7.58449
119,24181,imperial,Area Control / Area Influence|Area Movement|Stock Holding,Rondel Series,Economic|Fighting|Nautical|Political,7231,7.63243
120,38453,space-alert,Action / Movement Programming|Area Movement|Co-operative Play|Hand Management|Simultaneous Action Selection,CD Board Games|Solitaire Games,Electronic|Real-time|Science Fiction|Space Exploration,11971,7.52746
121,12,ra,Auction/Bidding|Press Your Luck|Set Collection,Alea Big Box|Country: Egypt|Ra,Ancient|Mythology,15538,7.47488
122,59294,runewars,Area Control / Area Influence|Area Movement|Auction/Bidding|Modular Board|Simultaneous Action Selection|Variable Player Powers,4X games|Fantasy Flight Big Box|The Realms of Terrinoth,Adventure|Fantasy|Fighting|Wargame,6517,7.69622
123,54998,cyclades,Area Control / Area Influence|Area Movement|Auction/Bidding|Card Drafting|Dice Rolling|Set Collection|Variable Phase Order,Country: Greece|Cyclades|Islands: Cyclades,Ancient|City Building|Civilization|Fighting|Miniatures|Mythology|Nautical,12328,7.53846
124,7854,yinsh,Grid Movement|Pattern Building,Combinatorial|GIPF Project|Mensa Select,Abstract Strategy,5431,7.68147
125,172818,above-and-below,Action Point Allowance System|Card Drafting|Deck / Pool Building|Dice Rolling|Set Collection|Storytelling|Trading,Arzium Setting|Crowdfunding: Kickstarter,Adventure|Book|City Building|Economic|Exploration|Fantasy|Farming|Negotiation,5938,7.67804
126,127060,bora-bora,Dice Rolling|Set Collection|Worker Placement,Alea Big Box|Country: French Polynesia|Oceanian Theme|Tropical theme,Dice,6617,7.60778
127,181304,mysterium,Co-operative Play|Hand Management|Pattern Recognition,Ghosts|Mysterium,Deduction|Murder/Mystery|Party Game,12839,7.52389
128,19857,glory-rome,Card Drafting|Hand Management|Set Collection|Variable Phase Order,Ancient Rome|Cities: Rome|Crowdfunding: Kickstarter|Tableau Building,Ancient|Card Game|City Building|Economic,10969,7.5009
129,822,carcassonne,Area Control / Area Influence|Tile Placement,Carcassonne|Country: France,City Building|Medieval|Territory Building,68289,7.43554
130,48726,alien-frontiers,Area Control / Area Influence|Card Drafting|Dice Rolling|Worker Placement,Aliens|Crowdfunding: Kickstarter|Crowdfunding: ulule,Dice|Science Fiction,11456,7.49638
131,118048,targi,Modular Board|Set Collection|Worker Placement,Continent: Africa|Desert Theme|Kosmos two-player series,Arabian|Card Game,6183,7.61647
132,17392,here-i-stand,Campaign / Battle Card Driven|Dice Rolling|Hand Management|Point to Point Movement|Variable Player Powers,Cities: Ravenna (Italy)|Country: England|Country: France|Country: Holy Roman Empire|Country: Italy|Country: Spain|Country: Turkey,Negotiation|Political|Religious|Renaissance|Wargame,2924,7.94066
133,25021,sekigahara-unification-japan,Hand Management|Point to Point Movement|Secret Unit Deployment,Asian Theme|Block wargames|Country: Japan,Civil War|Renaissance|Wargame,2357,8.06737
134,182874,grand-austria-hotel,Dice Rolling|Set Collection,Cities: Vienna,Economic,4075,7.77112
135,108745,seasons,Card Drafting|Dice Rolling|Hand Management|Take That,Kingdom of Xidit,Card Game|Dice|Fantasy,14203,7.46646
136,92828,dixit-odyssey,Partnerships|Simultaneous Action Selection|Storytelling|Voting,Dixit,Humor|Party Game,10102,7.52772
137,41114,resistance,Partnerships|Simultaneous Action Selection|Voting,Dystopian Universe|Postcard Box Games|Werewolf / Mafia,Bluffing|Deduction|Negotiation|Party Game|Science Fiction|Spies/Secret Agents,26057,7.42506
138,66589,navegador,Area Movement,Colonial Theme|Country: Portugal|Rondel Series,Economic|Exploration|Nautical|Renaissance,6195,7.58821
139,181279,fury-dracula-third-edition,Partnerships|Point to Point Movement|Secret Unit Deployment|Variable Player Powers,Vampires,Adventure|Deduction|Fighting|Horror|Novel-based,4837,7.71318
140,77130,sid-meiers-civilization-board-game,Card Drafting|Deck / Pool Building|Grid Movement|Hand Management|Modular Board|Rock-Paper-Scissors|Simultaneous Action Selection|Trading|Variable Player Powers,4X games|Civilization,City Building|Civilization|Exploration|Negotiation|Video Game Theme,11498,7.50661
141,155873,power-grid-deluxe-europenorth-america,Auction/Bidding|Route/Network Building,Country: Austria|Country: Canada|Country: Finland|Country: Germany|Country: Greece|Country: Ireland|Country: Italy|Country: Mexico|Country: Norway|Country: Poland|Country: Portugal|Country: Romania|Country: Russia|Country: Spain|Country: Sweden|Country: Turkey|Country: Ukraine|Country: United Kingdom|Country: USA|Power Grid,Economic|Industry / Manufacturing,2119,8.13624
142,176494,isle-skye-chieftain-king,Auction/Bidding|Set Collection|Tile Placement,Country: Scotland,Economic|Territory Building,8919,7.51863
143,27708,1960-making-president,Area Control / Area Influence|Campaign / Battle Card Driven|Hand Management,Country: USA|Political: Elections,Political,6990,7.56553
144,421,1830-railways-robber-barons,Auction/Bidding|Route/Network Building|Stock Holding|Tile Placement,18xx|Country: USA,Economic|Trains|Transportation,3393,7.81462
145,463,magic-gathering,Hand Management|Player Elimination,Animals: Unicorns|CCGs (Collectible Card Games)|Mensa Select,Card Game|Collectible Components|Fantasy|Fighting,23255,7.44031
146,119890,agricola-all-creatures-big-and-small,Area Enclosure|Tile Placement|Worker Placement,Agricola|Animals: Cattle|Animals: Horses|Animals: Pigs|Animals: Sheep|Lookout Games Fur Zwei Spieler Series,Animals|Farming,9223,7.50085
147,54138,imperial-2030,Area Control / Area Influence|Area Movement|Stock Holding,Rondel Series,Economic|Fighting|Nautical|Political,4069,7.73843
148,1,die-macher,Area Control / Area Influence|Auction/Bidding|Dice Rolling|Hand Management|Simultaneous Action Selection,Country: Germany|Valley Games Classic Line,Economic|Negotiation|Political,4523,7.66168
149,55690,kingdom-death-monster,Co-operative Play|Dice Rolling|Grid Movement|Role Playing|Storytelling,Campaign Games|Crowdfunding: Kickstarter|Kingdom Death|Solitaire Games,Adventure|Fantasy|Horror|Mature / Adult|Miniatures|Mythology,2028,8.89426
150,3,samurai,Area Control / Area Influence|Hand Management|Set Collection|Tile Placement,Asian Theme|Country: Japan|Knizia tile-laying trilogy|Samurai,Abstract Strategy|Medieval,12127,7.44094
151,36932,claustrophobia,Dice Rolling|Modular Board|Variable Player Powers,"",Horror|Adventure|Fantasy|Fighting|Miniatures,5668,7.6084
152,198928,pandemic-iberia,Action Point Allowance System|Co-operative Play|Hand Management|Point to Point Movement|Set Collection|Variable Player Powers,Country: Portugal|Country: Spain|Pandemic,Medical,1993,8.20399
153,45315,dungeon-lords,Action / Movement Programming|Hand Management|Simultaneous Action Selection|Tile Placement|Worker Placement,Dungeon Lords,Economic|Fantasy|Fighting|Humor,10826,7.45609
154,40692,small-world,Area Movement|Dice Rolling|Variable Player Powers,Small World,Fantasy|Fighting|Territory Building,43984,7.35222
155,192291,sushi-go-party,Card Drafting|Hand Management|Set Collection|Simultaneous Action Selection,"",Card Game,4467,7.70184
156,193037,dead-winter-long-night,Action Point Allowance System|Area Movement|Co-operative Play|Dice Rolling|Hand Management|Storytelling|Variable Player Powers|Voting,Crossroads Series,Bluffing|Deduction|Horror|Mature / Adult|Science Fiction|Zombies,2430,8.09967
157,760,battle-line,Hand Management|Set Collection,Schotten-Totten,Ancient|Card Game|Deduction,12349,7.42297
158,15985,blood-bowl-living-rulebook,Dice Rolling|Grid Movement|Variable Player Powers,Blood Bowl|Campaign Games|Fantasy Sports|Games Workshop Specialist Games|Warhammer Fantasy Board Games,Collectible Components|Expansion for Base-game|Fantasy|Fighting|Miniatures|Sports,3024,7.87216
159,163745,star-wars-armada,Action / Movement Programming|Dice Rolling|Variable Player Powers,Components: Miniatures|Star Wars|Star Wars: Armada,Collectible Components|Miniatures|Movies / TV / Radio theme|Science Fiction|Wargame,2790,7.98938
160,39856,dixit,Simultaneous Action Selection|Storytelling|Voting,Dixit,Card Game|Humor|Party Game,31810,7.35378
161,123123,battlecon-devastation-indines,Hand Management|Point to Point Movement|Simultaneous Action Selection|Variable Player Powers,BattleCON|Crowdfunding: Kickstarter|World of Indines,Card Game|Fighting,2201,8.09519
162,59959,letters-whitechapel,Memory|Partnerships|Point to Point Movement|Secret Unit Deployment,Characters: Jack the Ripper|Cities: London|Country: United Kingdom,Bluffing|Deduction|Murder/Mystery|Post-Napoleonic,9161,7.48526
163,185343,anachrony,Variable Player Powers|Worker Placement,Crowdfunding: Kickstarter|Solitaire Games|Time Travel,Economic|Science Fiction,1814,8.30413
164,176920,mission-red-planet-second-edition,Area Control / Area Influence|Hand Management|Simultaneous Action Selection,Mars|Steampunk,Science Fiction,4387,7.66054
165,124708,mice-and-mystics,Area Movement|Co-operative Play|Dice Rolling|Role Playing|Storytelling|Variable Player Powers,Animals: Mice|Campaign Games|Mice and Mystics|Solitaire Games,Adventure|Dice|Exploration|Fantasy|Fighting|Miniatures,11103,7.47177
166,136888,bruges,Dice Rolling|Hand Management,Cities: Bruges|Country: Belgium|Tableau Building,Card Game|City Building|Dice|Economic|Renaissance,7231,7.48953
167,198773,codenames-pictures,Memory|Partnerships|Pattern Recognition|Press Your Luck,Codenames,Deduction|Party Game|Spies/Secret Agents,5576,7.57471
168,40765,clash-cultures,Action Point Allowance System|Dice Rolling|Grid Movement|Hand Management|Modular Board|Trading|Variable Player Powers,4X games|Components: Miniatures,Ancient|City Building|Civilization|Economic|Exploration|Medieval|Territory Building,3992,7.69302
169,37046,ghost-stories,Co-operative Play|Dice Rolling|Grid Movement|Modular Board|Variable Player Powers,Asian Theme|Ghost Stories|Ghosts|Solitaire Games,Fantasy|Fighting|Horror|Mythology,14375,7.38656
170,82222,xia-legends-drift-system,Action Point Allowance System|Dice Rolling|Grid Movement|Modular Board|Pick-up and Deliver|Roll / Spin and Move|Tile Placement|Variable Player Powers,Crowdfunding: Kickstarter|Crowdfunding: Verkami,Adventure|Exploration|Fighting|Miniatures|Science Fiction|Space Exploration|Transportation,3402,7.82857
171,243,advanced-squad-leader,Auction/Bidding|Dice Rolling|Hex-and-Counter|Modular Board|Press Your Luck|Secret Unit Deployment|Simulation|Time Track|Variable Player Powers,Advanced Squad Leader,Wargame|World War II,2958,7.93806
172,33160,endeavor,Area Control / Area Influence|Card Drafting|Set Collection,Colonial Theme,Exploration|Nautical|Renaissance,8049,7.45495
173,25292,merchants-marauders,Action Point Allowance System|Area Movement|Dice Rolling|Pick-up and Deliver|Variable Player Powers,Colonial Theme|Country: Costa Rica|Tropical theme,Adventure|Nautical|Pirates|Transportation,9762,7.45042
174,63628,manhattan-project,Card Drafting|Worker Placement,Crowdfunding: Kickstarter|The Manhattan Project|Tableau Building,Aviation / Flight|Economic|Fighting|Industry / Manufacturing|Negotiation|World War II,6880,7.49057
175,129622,love-letter,Hand Management|Player Elimination,AEG: 5 Minute Fun|AEG: Big in Japan|AEG: Pocket Game|Card Games: Draw and Discard Games|Holidays: Christmas|Love Letter|Munchkin|Tempest: Shared World,Card Game|Deduction|Renaissance,36634,7.31589
176,2655,hive,Grid Movement|Tile Placement,Animals: Ants|Animals: Bees|Animals: Grasshoppers|Animals: Spiders|Combinatorial|Hive|Mensa Select,Abstract Strategy|Animals,20362,7.34027
177,25554,notre-dame,Area Control / Area Influence|Card Drafting|Point to Point Movement,Alea Big Box|Animals: Rats|Cities: Paris (France)|Country: France,Economic|Renaissance,10000,7.39577
178,70919,takenoko,Dice Rolling|Grid Movement|Modular Board|Pattern Building|Set Collection|Tile Placement,Animals: Pandas|Asian Theme|Country: Japan,Animals|Environmental|Farming|Territory Building,20527,7.35
179,21241,neuroshima-hex,Hand Management|Hex-and-Counter|Player Elimination|Tile Placement|Variable Player Powers,From RPG books to board games|Neuroshima,Fighting|Science Fiction,9938,7.44639
180,54625,space-hulk-third-edition,Action Point Allowance System|Dice Rolling|Grid Movement|Modular Board,"Admin: Better Description Needed!|Campaign Games|Space Hulk|Warhammer 40,000 Board Games",Fighting|Miniatures|Science Fiction,5902,7.56641
181,144344,rococo,Area Control / Area Influence|Card Drafting|Deck / Pool Building|Hand Management|Set Collection,"",Age of Reason|Economic,4652,7.57897
182,105134,risk-legacy,Area Movement|Card Drafting|Dice Rolling|Player Elimination|Variable Player Powers,Campaign Games|Components: Miniatures|Legacy|Risk,Dice|Science Fiction|Wargame,5614,7.5643
183,31594,year-dragon,Hand Management|Variable Phase Order,Alea Big Box|Asian Theme|Country: China,Economic|Medieval,8342,7.41596
184,143693,glass-road,Card Drafting|Set Collection|Simultaneous Action Selection|Tile Placement|Variable Phase Order,Country: Germany|Harvest Series|Solitaire Games|Tableau Building,City Building|Economic|Medieval,5968,7.49408
185,5,acquire,Hand Management|Stock Holding|Tile Placement,3M Bookshelf Series,Economic,15336,7.35751
186,121,dune,Area Control / Area Influence|Area Movement|Auction/Bidding|Hand Management|Partnerships|Variable Player Powers,Desert Theme|Dune,Bluffing|Fighting|Negotiation|Novel-based|Political|Science Fiction,4598,7.61734
187,163068,trickerion-legends-illusion,Action Point Allowance System|Simultaneous Action Selection|Tile Placement|Worker Placement,Crowdfunding: Kickstarter|Crowdfunding: Spieleschmiede,"",2698,7.84654
188,70323,king-tokyo,Area Control / Area Influence|Card Drafting|Dice Rolling|Player Elimination|Press Your Luck,Asian Theme|Cities: Tokyo|Country: Japan|Kaiju|King of Tokyo|Monsters,Dice|Fighting|Movies / TV / Radio theme|Science Fiction,37329,7.30117
189,71,civilization,Area Control / Area Influence|Area Movement|Hand Management|Set Collection|Trading,Civilization,Ancient|Civilization|Economic|Negotiation,6215,7.52333
190,156129,deception-murder-hong-kong,Partnerships|Storytelling,Crowdfunding: Kickstarter,Bluffing|Deduction|Murder/Mystery|Party Game|Spies/Secret Agents,4900,7.56626
191,54,tikal,Action Point Allowance System|Area Control / Area Influence|Auction/Bidding|Grid Movement|Set Collection|Tile Placement,Archaeology|Country: Guatemala|The Mask Trilogy|Promotional Board Games|Tropical theme,Exploration|Territory Building,13820,7.34436
192,172287,champions-midgard,Dice Rolling|Set Collection|Worker Placement,Vikings,Adventure|Dice|Fantasy|Fighting|Medieval|Mythology,3592,7.70964
193,19777,indonesia,Area Control / Area Influence|Auction/Bidding|Pick-up and Deliver|Stock Holding,Asian Theme|Country: Indonesia,Economic|Industry / Manufacturing|Transportation,2746,7.77362
194,155821,inis,Area Control / Area Influence|Area Movement|Card Drafting|Hand Management|Memory|Modular Board|Tile Placement,Country: Ireland,Ancient|Card Game|Mythology,3121,7.82391
195,157969,sheriff-nottingham,Card Drafting|Hand Management|Role Playing|Set Collection,Cities: Nottingham|Dice Tower Essentials,Bluffing|Card Game|Humor|Medieval|Negotiation|Novel-based|Party Game,15732,7.34261
196,109276,kanban-automotive-revolution,Action Point Allowance System|Commodity Speculation|Variable Phase Order|Worker Placement,Automotive|Crowdfunding: Giochistarter,Economic|Industry / Manufacturing,2870,7.79093
197,46213,telestrations,Line Drawing|Paper-and-Pencil,"",Humor|Party Game|Real-time,6997,7.44117
198,8217,san-juan,Hand Management|Set Collection|Variable Phase Order,Alea Small Box|Colonial Theme|Country: Puerto Rico|Puerto Rico|Tableau Building,Card Game|City Building|Economic,18893,7.29647
199,9217,saint-petersburg,Card Drafting|Set Collection,Cities: St Petersburg / Petrograd / Leningrad|Country: Russia|Saint Petersburg|Tableau Building,Age of Reason|Card Game|Economic,12492,7.3345
200,21348,ticket-ride-marklin,Card Drafting|Hand Management|Point to Point Movement|Route/Network Building|Set Collection,Cities: Bremerhaven|Country: Germany|Ticket to Ride,Trains|Transportation|Travel,7772,7.41462
